epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.838,3.09731,4.3129,2.77756,0.44636,0.04991,0.02572,0.00799,2.71341,3.54262,2.40436,0.000166476,0.000166476,0.000166476
2,445.441,2.35753,3.28176,2.06577,0.35873,0.14649,0.10654,0.04388,2.34128,3.05622,2.13886,0.000326481,0.000326481,0.000326481
3,655.75,2.13412,2.91247,1.90296,0.3936,0.20859,0.16554,0.07754,2.1862,2.75576,1.99858,0.000479889,0.000479889,0.000479889
4,864.133,2.00981,2.66418,1.80537,0.43098,0.20997,0.17679,0.08626,2.09097,2.63293,1.91169,0.000626699,0.000626699,0.000626699
5,1073.34,1.92534,2.50274,1.74676,0.51309,0.24944,0.25059,0.13278,1.93759,2.37638,1.81418,0.000766912,0.000766912,0.000766912
6,1282.17,1.84388,2.3789,1.69487,0.53031,0.27985,0.28684,0.15537,1.88355,2.25341,1.7721,0.000750533,0.000750533,0.000750533
7,1484,1.78536,2.26946,1.6476,0.561,0.2767,0.32041,0.18038,1.81996,2.14576,1.70912,0.00073404,0.00073404,0.00073404
8,1687.02,1.74331,2.17629,1.61126,0.55072,0.31666,0.35433,0.21,1.78182,2.03708,1.67409,0.000717546,0.000717546,0.000717546
9,1890.72,1.70077,2.10438,1.58276,0.57454,0.32418,0.35756,0.21059,1.74232,1.96919,1.64507,0.000701053,0.000701053,0.000701053
10,2094.84,1.66719,2.04077,1.55706,0.60821,0.33534,0.37505,0.22423,1.72333,1.90544,1.62403,0.000684559,0.000684559,0.000684559
11,2299.17,1.64636,1.99057,1.54558,0.59009,0.34714,0.39055,0.23666,1.66311,1.85607,1.578,0.000668066,0.000668066,0.000668066
12,2503.78,1.61951,1.94144,1.53346,0.62144,0.36725,0.41211,0.25436,1.63778,1.8,1.56338,0.000651573,0.000651573,0.000651573
13,2707.82,1.60382,1.91386,1.51515,0.5645,0.37373,0.4274,0.25713,1.63645,1.7622,1.55521,0.000635079,0.000635079,0.000635079
14,2906.68,1.58048,1.87134,1.50001,0.57428,0.39433,0.4485,0.27202,1.62663,1.72271,1.54706,0.000618586,0.000618586,0.000618586
15,3109.33,1.56046,1.83909,1.49032,0.67565,0.38228,0.45281,0.28307,1.60186,1.69973,1.53504,0.000602092,0.000602092,0.000602092
16,3307.39,1.54661,1.80177,1.47497,0.53456,0.4121,0.45106,0.28073,1.57784,1.67391,1.5168,0.000585599,0.000585599,0.000585599
17,3493.63,1.54195,1.78916,1.46807,0.60696,0.41312,0.46205,0.28672,1.56641,1.66532,1.49882,0.000569106,0.000569106,0.000569106
18,3678.09,1.51449,1.74271,1.4545,0.62718,0.42416,0.47829,0.29661,1.55681,1.63787,1.49351,0.000552612,0.000552612,0.000552612
19,3860.34,1.5035,1.70958,1.43982,0.61784,0.43298,0.4839,0.30173,1.53134,1.6053,1.4681,0.000536119,0.000536119,0.000536119
20,4045.44,1.49184,1.70051,1.43474,0.54312,0.4543,0.48989,0.30992,1.51582,1.58363,1.45507,0.000519625,0.000519625,0.000519625
21,4229.45,1.48175,1.67958,1.42563,0.58068,0.45262,0.50204,0.31475,1.50612,1.55891,1.4505,0.000503132,0.000503132,0.000503132
22,4413.93,1.47247,1.65251,1.41917,0.60602,0.42735,0.50041,0.31853,1.4987,1.55145,1.45016,0.000486639,0.000486639,0.000486639
23,4601.17,1.46035,1.62599,1.41326,0.61255,0.44518,0.499,0.31951,1.49638,1.54403,1.44177,0.000470145,0.000470145,0.000470145
24,4784.38,1.4548,1.61101,1.40679,0.58767,0.47019,0.51798,0.33052,1.4767,1.51732,1.42382,0.000453652,0.000453652,0.000453652
25,4969.75,1.44133,1.61442,1.40749,0.64169,0.4543,0.52222,0.33356,1.46749,1.49376,1.4169,0.000437158,0.000437158,0.000437158
26,5153.24,1.43874,1.58596,1.39689,0.6353,0.46833,0.52816,0.33839,1.45448,1.48146,1.41013,0.000420665,0.000420665,0.000420665
27,5338.59,1.42758,1.56774,1.39254,0.63838,0.45923,0.52711,0.34256,1.44565,1.48003,1.40705,0.000404172,0.000404172,0.000404172
28,5522.89,1.42352,1.55839,1.38755,0.59817,0.47062,0.52765,0.34188,1.45426,1.4722,1.40615,0.000387678,0.000387678,0.000387678
29,5705.2,1.4072,1.53531,1.37969,0.64035,0.47288,0.53712,0.34585,1.45644,1.44813,1.40256,0.000371185,0.000371185,0.000371185
30,5888.11,1.40887,1.52992,1.37457,0.60961,0.48003,0.52901,0.34357,1.43894,1.43584,1.3914,0.000354691,0.000354691,0.000354691
31,6074.46,1.40297,1.51883,1.37292,0.62912,0.47446,0.5369,0.34862,1.42521,1.43458,1.38462,0.000338198,0.000338198,0.000338198
32,6258.83,1.38571,1.49753,1.36463,0.65056,0.47163,0.54613,0.35557,1.41988,1.41595,1.37897,0.000321705,0.000321705,0.000321705
33,6442.48,1.37966,1.48663,1.35848,0.65708,0.47033,0.54631,0.35502,1.41767,1.40098,1.38004,0.000305211,0.000305211,0.000305211
34,6625.92,1.37265,1.47063,1.35463,0.6583,0.4822,0.54938,0.35915,1.42407,1.40192,1.37831,0.000288718,0.000288718,0.000288718
35,6807.73,1.36998,1.46102,1.35275,0.64505,0.49025,0.56024,0.36366,1.40966,1.39747,1.36353,0.000272224,0.000272224,0.000272224
36,6992.88,1.36301,1.44687,1.35017,0.67146,0.49039,0.55963,0.36368,1.40489,1.37706,1.36575,0.000255731,0.000255731,0.000255731
37,7177.19,1.36152,1.44011,1.34249,0.65247,0.48133,0.55574,0.36483,1.39755,1.38371,1.36194,0.000239238,0.000239238,0.000239238
38,7363.57,1.3544,1.43574,1.3403,0.63918,0.51649,0.56326,0.36591,1.39727,1.37647,1.3611,0.000222744,0.000222744,0.000222744
39,7545.88,1.35533,1.42583,1.34274,0.66585,0.49724,0.56267,0.36848,1.38983,1.37421,1.35663,0.000206251,0.000206251,0.000206251
40,7728.8,1.33959,1.41068,1.33508,0.65235,0.51304,0.56802,0.37062,1.38649,1.35896,1.35554,0.000189757,0.000189757,0.000189757
41,8026.63,1.34747,1.34334,1.34834,0.69849,0.49795,0.57057,0.37582,1.38698,1.36246,1.35706,0.000173264,0.000173264,0.000173264
42,8270.48,1.33806,1.31274,1.33803,0.70816,0.49492,0.57208,0.37613,1.3879,1.35998,1.35554,0.000156771,0.000156771,0.000156771
43,8512.67,1.32325,1.29976,1.32877,0.67213,0.50849,0.57155,0.37953,1.37801,1.34992,1.3502,0.000140277,0.000140277,0.000140277
44,8715.25,1.31953,1.29536,1.32966,0.70097,0.50652,0.57805,0.38056,1.37427,1.35405,1.35054,0.000123784,0.000123784,0.000123784
45,8904.78,1.31176,1.27665,1.32225,0.67382,0.50416,0.5765,0.38129,1.37588,1.34658,1.34977,0.00010729,0.00010729,0.00010729
46,9093.88,1.30716,1.26319,1.31555,0.70873,0.49916,0.58068,0.3838,1.37361,1.34011,1.34936,9.0797e-05,9.0797e-05,9.0797e-05
47,9281.9,1.29872,1.25613,1.31252,0.68896,0.50507,0.58175,0.3843,1.37049,1.33463,1.34702,7.43036e-05,7.43036e-05,7.43036e-05
48,9470.37,1.28937,1.25048,1.30433,0.71152,0.50109,0.58098,0.3871,1.36945,1.33764,1.34633,5.78102e-05,5.78102e-05,5.78102e-05
49,9656.64,1.28911,1.24319,1.30643,0.71769,0.49715,0.57994,0.3847,1.36879,1.33984,1.34468,4.13168e-05,4.13168e-05,4.13168e-05
50,9842.3,1.28767,1.23046,1.3018,0.71455,0.5024,0.58161,0.38596,1.36764,1.3351,1.34331,2.48234e-05,2.48234e-05,2.48234e-05
